"CardID","CardGroup","Route","SrcName","SrcLat","SrcLon"
"13448230","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"13442770","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"12683710","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"12681560","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"12605200","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"12547640","Other Concession","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"12482500","Tertiary","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"12478880","Other Concession","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"12394800","Other Concession","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"12038870","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"11912080","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"11900810","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"11842430","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"11005820","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"10749470","Other Concession","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"10390430","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"10135480","Senior_Aged Pension","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"10124790","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"9768200","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"9706970","Other Concession","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"9661920","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"9542650","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"9197200","Tertiary","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"8612940","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"8411280","Full Fare","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
"8396090","Senior_Aged Pension","512","Strathmore Railway Station/Woodlands St (Strathmore)","-37.7391577","144.9185729"
