"d","t","travelers","CumulativeT"
"2","2018-09-18 04:06:46","1","1"
"2","2018-09-18 04:10:21","1","2"
"2","2018-09-18 04:17:42","1","3"
"4","2018-09-18 04:21:23","1","4"
"4","2018-09-18 04:27:37","1","5"
"2","2018-09-18 04:28:41","1","6"
"2","2018-09-18 04:29:39","1","7"
"2","2018-09-18 04:30:17","1","8"
"4","2018-09-18 04:32:17","1","9"
"2","2018-09-18 04:32:30","1","10"
"2","2018-09-18 04:35:30","1","11"
"2","2018-09-18 04:36:18","1","12"
"4","2018-09-18 04:36:23","1","13"
"2","2018-09-18 04:37:12","1","14"
"2","2018-09-18 04:38:45","1","15"
"2","2018-09-18 04:39:06","1","16"
"2","2018-09-18 04:40:16","1","17"
"2","2018-09-18 04:40:34","1","18"
"4","2018-09-18 04:41:46","1","19"
"2","2018-09-18 04:41:48","1","20"
"2","2018-09-18 04:41:58","1","21"
"2","2018-09-18 04:42:13","1","22"
"2","2018-09-18 04:42:36","1","23"
"2","2018-09-18 04:42:39","1","24"
"2","2018-09-18 04:42:47","1","25"
"2","2018-09-18 04:43:12","1","26"
"2","2018-09-18 04:44:05","1","27"
"2","2018-09-18 04:44:13","1","28"
"2","2018-09-18 04:44:14","1","29"
"4","2018-09-18 04:44:31","1","30"
"4","2018-09-18 04:44:40","1","31"
"2","2018-09-18 04:45:21","1","32"
"2","2018-09-18 04:45:34","1","33"
"2","2018-09-18 04:46:19","1","34"
"2","2018-09-18 04:46:24","1","35"
"2","2018-09-18 04:46:37","1","36"
"2","2018-09-18 04:47:08","1","37"
"2","2018-09-18 04:47:10","1","38"
"2","2018-09-18 04:47:23","1","39"
"2","2018-09-18 04:47:44","1","40"
"2","2018-09-18 04:47:55","1","41"
"2","2018-09-18 04:48:44","1","42"
"2","2018-09-18 04:49:06","1","43"
"2","2018-09-18 04:49:18","1","44"
"2","2018-09-18 04:49:23","1","45"
"4","2018-09-18 04:49:36","1","46"
"2","2018-09-18 04:50:43","1","47"
"4","2018-09-18 04:50:45","1","48"
"4","2018-09-18 04:50:56","1","49"
"2","2018-09-18 04:51:30","1","50"
"2","2018-09-18 04:51:40","2","52"
"2","2018-09-18 04:51:44","1","53"
"2","2018-09-18 04:52:02","1","54"
"2","2018-09-18 04:52:35","1","55"
"2","2018-09-18 04:52:37","1","56"
"2","2018-09-18 04:52:59","1","57"
"2","2018-09-18 04:53:14","1","58"
"4","2018-09-18 04:53:48","1","59"
"2","2018-09-18 04:53:56","2","61"
"4","2018-09-18 04:54:26","1","62"
"2","2018-09-18 04:54:36","1","63"
"2","2018-09-18 04:54:37","1","64"
"2","2018-09-18 04:54:44","1","65"
"2","2018-09-18 04:54:56","1","66"
"2","2018-09-18 04:55:04","1","67"
"2","2018-09-18 04:55:06","1","68"
"2","2018-09-18 04:55:13","1","69"
"4","2018-09-18 04:55:19","2","71"
"2","2018-09-18 04:55:43","1","72"
"2","2018-09-18 04:55:46","1","73"
"2","2018-09-18 04:56:01","1","74"
"2","2018-09-18 04:56:06","1","75"
"2","2018-09-18 04:56:21","1","76"
"2","2018-09-18 04:56:25","1","77"
"2","2018-09-18 04:56:37","1","78"
"4","2018-09-18 04:57:02","1","79"
"2","2018-09-18 04:57:07","1","80"
"2","2018-09-18 04:57:45","1","81"
"2","2018-09-18 04:57:56","1","82"
"2","2018-09-18 04:58:35","2","84"
"4","2018-09-18 04:59:49","1","85"
"2","2018-09-18 04:59:59","1","86"
"2","2018-09-18 05:00:14","1","87"
"2","2018-09-18 05:00:15","1","88"
"4","2018-09-18 05:00:16","1","89"
"2","2018-09-18 05:00:36","2","91"
"2","2018-09-18 05:00:41","1","92"
"2","2018-09-18 05:00:59","1","93"
"2","2018-09-18 05:01:10","1","94"
"4","2018-09-18 05:01:17","1","95"
"2","2018-09-18 05:01:28","1","96"
